dateTime_UTC,ax,ay,az,gx,gy,gz
1999-01-15 09:29:49.0679,1.0664,-3.846,-9.0252,-7.63,-28.95,1.22
1999-01-15 09:29:49.1369,1.0646,-3.679,-9.1712,-8.08,-16.5,6.67
1999-01-15 09:29:49.2059,0.6768,-3.6742,-9.4752,-0.48,-4.6,-2.5
1999-01-15 09:29:49.2749,0.8102,-3.4989,-8.8056,-8.61,-0.07,-4.8
1999-01-15 09:29:49.3439,1.189,-3.8807,-9.2478,1.65,6.91,-2.1
1999-01-15 09:29:49.4129,1.1932,-4.0698,-9.3113,-5.84,4.52,3.79
1999-01-15 09:29:49.4819,0.9604,-3.6413,-8.9684,-15.5,-3.38,2.52
1999-01-15 09:29:49.5509,0.9239,-3.302,-9.2748,-6.76,-2.8,0.7
1999-01-15 09:29:49.6198,0.97,-3.9657,-9.1754,2.61,0.98,-1.16
1999-01-15 09:29:49.6888,0.6565,-3.5414,-9.8929,5.67,17.89,-1.01
1999-01-15 09:29:49.7578,1.1059,-3.6126,-9.3143,8.72,9.69,4.25
1999-01-15 09:29:49.8268,0.9455,-4.0632,-9.6314,22.05,16.84,-16.54
1999-01-15 09:29:49.8958,2.4547,-3.1321,-9.039,-0.37,-7.76,-4.5
1999-01-15 09:29:49.9648,1.1442,-3.2057,-9.0749,-16.76,-20.98,17.75
1999-01-15 09:29:50.0338,0.6343,-3.9244,-9.7176,-17.78,-45.12,55.61
1999-01-15 09:29:50.1028,0.1496,-3.2165,-10.249,-1.51,2.08,24.38
1999-01-15 09:29:50.1718,0.1574,-2.8281,-9.7702,-20.09,3.74,18.38
1999-01-15 09:29:50.2408,-1.0245,-3.5725,-10.3124,-46.89,-9.7,-4.86
1999-01-15 09:29:50.3098,0.1879,-2.4894,-9.6559,-13.51,7.4,-16.62
1999-01-15 09:29:50.3788,-0.2453,-2.773,-9.2041,-8.73,6.53,-20.06
1999-01-15 09:29:50.4477,0.0168,-3.3924,-9.7439,23.61,38.04,-21.97
1999-01-15 09:29:50.5167,0.6523,-3.2159,-9.4471,0.28,16.98,-12.31
1999-01-15 09:29:50.5857,0.5637,-2.8718,-8.6386,-0.64,-8.29,-3.82
1999-01-15 09:29:50.6547,0.0838,-1.1675,-10.7959,28.59,-6.54,-19.4
1999-01-15 09:29:50.7237,0.2627,-4.0297,-8.9833,37.54,22.36,-7.57
1999-01-15 09:29:50.7927,0.6618,-5.0422,-9.121,25.82,21.55,-19.6
1999-01-15 09:29:50.8617,1.599,-3.989,-8.8882,8.66,32.8,-6.65
1999-01-15 09:29:50.9307,0.4979,-3.6551,-9.4142,0.11,32.41,-4.69
1999-01-15 09:29:50.9997,1.9329,-3.9094,-8.7703,12.46,35.03,-5.04
1999-01-15 09:29:51.0687,2.4487,-4.144,-9.4722,10.73,7.24,5.98
1999-01-15 09:29:51.1377,1.3183,-3.9304,-9.48,7.26,-1.97,21.41
1999-01-15 09:29:51.2066,1.3967,-3.8861,-8.6997,-2.33,1.28,13.35
1999-01-15 09:29:51.2756,1.5421,-4.4324,-9.2861,-8.04,-1.58,13.19
1999-01-15 09:29:51.3446,1.1795,-4.22,-9.0025,-3.96,1.62,3.29
1999-01-15 09:29:51.4136,1.6881,-3.7239,-8.9839,-8.26,9.42,-3.47
1999-01-15 09:29:51.4826,1.8515,-4.0046,-8.8607,-2.72,1.29,0.11
1999-01-15 09:29:51.5516,1.7492,-3.9447,-9.0294,-11.48,1.79,8.45
1999-01-15 09:29:51.6206,1.3279,-3.8011,-8.3843,-4.94,-4.13,7.12
1999-01-15 09:29:51.6896,1.2728,-3.9345,-9.2538,-3.46,-0.69,0.8
1999-01-15 09:29:51.7586,1.4793,-4.0046,-9.2209,-3.06,-3.09,4.48
1999-01-15 09:29:51.8276,0.9676,-3.779,-9.41,-6.99,-4.68,0.47
1999-01-15 09:29:51.8966,1.0729,-3.6018,-9.0521,-1.5,3.64,-3.89
1999-01-15 09:29:51.9656,1.0981,-3.4989,-9.1443,-4.68,6.68,-4.8
