dateTime_UTC,ax,ay,az,gx,gy,gz
1999-01-02 04:00:12.1605,-0.3369,0.2256,-10.3052,0.02,3.07,2.76
1999-01-02 04:00:12.2295,-0.2854,0.161,-10.1311,0.38,7.88,-0.8
1999-01-02 04:00:12.2985,-0.1699,0.1448,-9.9049,-1.32,1.69,1.17
1999-01-02 04:00:12.3674,-0.4955,0.2298,-10.0742,-1.81,3.75,1.75
1999-01-02 04:00:12.4364,-0.0335,0.2609,-10.0258,-0.29,4.78,-0.67
1999-01-02 04:00:12.5054,-0.2328,0.1981,-10.0718,0.83,1.08,2.48
1999-01-02 04:00:12.5744,-0.2477,0.2447,-10.0635,-0.13,3.28,0.72
1999-01-02 04:00:12.6434,-0.2388,0.1723,-10.0252,2.14,4.31,0.19
1999-01-02 04:00:12.7124,0.4255,0.2615,-9.9719,1.94,2.95,-0.48
1999-01-02 04:00:12.7814,-0.2178,0.1382,-10.0832,0.55,2.98,0.33
1999-01-02 04:00:12.8504,-0.4931,0.2645,-10.0718,1.22,4.21,-1.02
1999-01-02 04:00:12.9194,0.2088,0.2196,-9.9994,1.45,6.64,-0.5
1999-01-02 04:00:12.9884,-0.2705,0.1831,-10.1179,-1.07,-3.46,3.08
1999-01-02 04:00:13.0574,-0.4021,0.1819,-10.1915,-0.23,3.47,0.19
1999-01-02 04:00:13.1264,0.2639,0.085,-9.9384,0.04,3.28,-0.87
1999-01-02 04:00:13.1954,-0.2346,0.1867,-10.5236,-1.63,-3.48,1.69
1999-01-02 04:00:13.2644,-0.2364,0.319,-11.3991,-0.57,0.76,-1.42
1999-01-02 04:00:13.3334,-0.4686,0.3178,-12.8634,-10.23,-0.2,3.71
1999-01-02 04:00:13.4023,0.5781,-0.0102,-8.2856,-10.77,1.75,2.19
1999-01-02 04:00:13.4713,0.073,0.2908,-5.7615,-18.41,11.92,-1.91
1999-01-02 04:00:13.5403,-0.4985,0.2047,-5.5323,-0.19,2.97,-1.08
1999-01-02 04:00:13.6093,-0.3058,0.012,-11.1873,25.58,-1.93,-1.58
1999-01-02 04:00:13.6783,-0.1053,0.5751,-14.5994,18.94,-18.87,0.32
1999-01-02 04:00:13.7473,-0.4045,0.1646,-16.1738,-4.39,-5.1,2.18
1999-01-02 04:00:13.8163,-0.7031,0.009,-11.7905,-30.96,8.38,6.3
1999-01-02 04:00:13.8853,-0.7253,0.0126,-7.8075,-25.51,23.41,8.23
1999-01-02 04:00:13.9543,-0.1783,0.3979,-5.1206,-5.73,34.46,4.26
1999-01-02 04:00:14.0233,0.1233,0.4267,-5.8076,16.23,6.23,7.22
1999-01-02 04:00:14.0923,0.1975,0.3321,-8.9426,29.83,-6.59,-2.62
1999-01-02 04:00:14.1613,0.8898,0.0473,-12.5014,25.85,-24.28,1.95
1999-01-02 04:00:14.2303,0.0742,-0.7522,-16.172,6.68,-13.64,4.8
1999-01-02 04:00:14.2993,0.3285,-0.2232,-12.7019,-19.15,9.66,0.15
1999-01-02 04:00:14.3682,0.7953,-0.0144,-10.4105,-26.85,6.2,5.01
1999-01-02 04:00:14.4372,-1.0376,0.3321,-7.9379,-20.49,13.98,-0.47
1999-01-02 04:00:14.5062,0.2842,0.6146,-5.2145,-3.68,21.25,-5.56
1999-01-02 04:00:14.5752,0.313,0.0963,-7.1396,9.9,-5.52,2.25
1999-01-02 04:00:14.6442,-1.0364,0.4063,-9.9474,26.23,-27.76,4.53
1999-01-02 04:00:14.7132,0.0981,-0.158,-13.2781,20.44,-14.77,0.79
1999-01-02 04:00:14.7822,0.0126,-0.5332,-14.4025,5.91,-5.03,0.94
1999-01-02 04:00:14.8512,0.3243,0.3393,-12.4565,-16.51,10.52,0.95
1999-01-02 04:00:14.9202,-0.3267,0.0892,-10.2334,-22.69,22.74,0.32
1999-01-02 04:00:14.9892,0.0568,0.2597,-6.9834,-19.98,20.18,-0.32
1999-01-02 04:00:15.0582,0.0395,-0.0048,-5.1445,-4.94,15.16,-0.74
1999-01-02 04:00:15.1272,0.149,0.1987,-7.4017,11.08,-2.49,-3.4
1999-01-02 04:00:15.1962,-0.1843,0.4859,-11.0975,16.99,-20.89,-2.93
1999-01-02 04:00:15.2652,-0.21,-0.0186,-14.3313,7.97,-15.99,-5.99
1999-01-02 04:00:15.3342,-0.0353,0.1855,-13.5791,-5.52,-0.96,3.44
1999-01-02 04:00:15.4031,-0.0245,0.0413,-10.9557,-16.81,16.3,2.2
1999-01-02 04:00:15.4721,0.2609,0.4039,-8.7894,-15.53,32.51,-1.58
1999-01-02 04:00:15.5411,0.0742,0.5661,-7.0965,-8.36,17.03,1.38
1999-01-02 04:00:15.6101,0.2118,0.2202,-6.628,11.26,8.83,1.55
1999-01-02 04:00:15.6791,0.7205,0.2902,-8.5279,18.56,-13.85,-1.75
1999-01-02 04:00:15.7481,-0.301,-0.0281,-11.0963,19.14,-17.58,-5.45
1999-01-02 04:00:15.8171,-0.1741,0.0197,-13.0818,15.22,-20.36,1.24
1999-01-02 04:00:15.8861,0.2184,-0.3477,-14.6287,-3.71,-5.14,-1.47
1999-01-02 04:00:15.9551,0.1502,0.2035,-11.0455,-21.2,13.11,1.22
1999-01-02 04:00:16.0241,-0.3716,0.2388,-9.6452,-21.46,19.65,2.56
